experiment,n,accuracy,wilson_95_ci_low,wilson_95_ci_high
Fakeddit baseline test (CM),12001,0.7961003249729189,0.7887976915699656,0.8032134516674428
LIAR baseline test (CM),1267,0.6345698500394633,0.6076839434044611,0.660642180008559
Fakeddit DistilBERT test,24001,0.852798,0.8482588300998412,0.8572238505273869
LIAR DistilBERT test,1267,0.6258879242304657,0.5988998888191119,0.6521148717930683
Fakeddit hybrid test,12000,0.8399,0.8332472336948202,0.8463685319780623
LIAR hybrid test,1267,0.629,0.6020930291662563,0.6552167724644111
Quick run DistilBERT (~2k),2000,0.7676,0.74848418081415,0.7854901612695755
